code,name,type,subtype,description,isHeader
4040,Building Fund Contributions,Revenue,Designated Giving,Gifts designated for building projects,false
4050,Missions Giving,Revenue,Designated Giving,Contributions designated for mission work,false
4060,Benevolence Fund Contributions,Revenue,Designated Giving,Gifts designated for benevolence ministry,false
4070,Youth Ministry Contributions,Revenue,Designated Giving,Gifts designated for youth programs,false
4080,Special Offerings,Revenue,Special,"Holiday, revival, and special event offerings",false
4090,Fundraising Event Revenue,Revenue,Events,Income from church fundraising events,false
4100,Facility Rental Income,Revenue,Other Income,Income from renting church facilities,false
4110,Interest and Investment Income,Revenue,Investment,Interest earned on accounts and investments,false
4120,Bookstore and Media Sales,Revenue,Other Income,Sales from church bookstore or media,false
4130,Other Revenue,Revenue,Other Income,Revenue from other sources,false
5000,Personnel Expenses,Expense,Header,Top-level personnel expense category,true
5010,Pastor Salary,Expense,Pastoral,Senior pastor compensation,false
5020,Pastor Housing Allowance,Expense,Pastoral,Minister housing allowance per IRS Section 107,false
5030,Associate Pastor Salary,Expense,Pastoral,Associate and assistant pastor compensation,false
5040,Staff Salaries,Expense,Staff,Administrative and support staff wages,false
5050,Payroll Taxes,Expense,Staff,Employer portion of payroll taxes,false
5060,Employee Benefits,Expense,Staff,"Health insurance, retirement, and other benefits",false
5070,Workers Compensation,Expense,Staff,Workers compensation insurance,false
5080,Continuing Education,Expense,Pastoral,Pastor and staff professional development,false
6000,Facility Expenses,Expense,Header,Top-level facility expense category,true
6010,Mortgage/Rent Payment,Expense,Occupancy,Building mortgage or rent payments,false
6020,Utilities,Expense,Occupancy,"Electric, gas, water, and sewer",false
6030,Telephone and Internet,Expense,Occupancy,Phone and internet services,false
6040,Property Insurance,Expense,Insurance,Building and property insurance,false
6050,Maintenance and Repairs,Expense,Maintenance,Building and grounds maintenance,false
6060,Janitorial and Cleaning,Expense,Maintenance,Cleaning services and supplies,false
6070,Landscaping,Expense,Maintenance,Grounds and landscape maintenance,false
7000,Ministry and Program Expenses,Expense,Header,Top-level ministry expense category,true
7010,Worship and Music Ministry,Expense,Ministry,"Music, worship supplies, licenses (CCLI)",false
7020,Childrens Ministry,Expense,Ministry,"Sunday school, VBS, and childrens programs",false
7030,Youth Ministry,Expense,Ministry,"Youth group activities, camps, and retreats",false
7040,Adult Education and Small Groups,Expense,Ministry,"Bible studies, discipleship, and adult programs",false
7050,Outreach and Evangelism,Expense,Ministry,Community outreach and evangelism activities,false
7060,Missions Support,Expense,Missions,Missionary support and mission trip costs,false
7070,Benevolence Distributions,Expense,Benevolence,Financial assistance to individuals in need,false
7080,Media and Technology Ministry,Expense,Ministry,"Livestream, website, and media production",false
7090,Denominational Dues,Expense,Denominational,Contributions to denomination or association,false
8000,Administrative Expenses,Expense,Header,Top-level admin expense category,true
8010,Office Supplies,Expense,Office,General office supplies and printing,false
8020,Postage and Shipping,Expense,Office,Mailing and shipping costs,false
8030,Software and Subscriptions,Expense,Technology,Church management software and subscriptions,false
8040,Professional Fees,Expense,Professional,"Audit, legal, and accounting fees",false
8050,Liability Insurance,Expense,Insurance,General liability and umbrella insurance,false
8060,Bank and Processing Fees,Expense,Financial,Bank charges and donation processing fees,false
8070,Depreciation Expense,Expense,Depreciation,Periodic depreciation of fixed assets,false
8080,Interest Expense,Expense,Financial,Interest on mortgage and loans,false
8090,Miscellaneous Expenses,Expense,Other,Expenses not classified elsewhere,false
